score,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.4938,21.91,38.88,1.97,-14.29,8.54,1.72,179.77,58.12,33.57,0.75,-7.38,6.87,3.43,112.19,55.85,30.24,1.96,-12.76,3.08,7.34,238.27,38.09,30.65,0.45,-11.88,9.03,4.64,241.86
0.4723,40.73,32.32,1.95,-13.34,5.43,0.4,151.46,37.12,55.69,1.36,-9.72,2.66,0.55,132.13,17.83,35.28,1.3,-11.98,4.37,0.17,278.17,52.84,32.84,1.37,-7.62,8.4,1.87,95.03
0.4505,28.15,40.38,0.86,-11.58,8.84,4.06,132.08,17.8,36.71,1.21,-14.28,9.74,9.96,85.3,17.26,42.59,0.53,-12.52,1.93,4.93,269.2,59.37,40.16,0.79,-5.2,4.46,9.06,248.29
0.4679,19.9,30.16,0.95,-1.56,5.5,8.19,150.55,39.35,33.28,1.19,-14.28,7.96,7.18,228.34,15.12,42.17,0.59,-2.45,7.68,2.56,212.16,23.69,37.91,0.33,-14.55,7.0,6.43,187.78
0.4747,36.83,57.43,1.11,-7.96,8.74,3.94,113.08,29.62,32.47,1.6,-13.76,5.84,2.77,131.11,31.55,35.94,0.85,-10.74,9.97,5.5,200.37,15.6,36.49,0.39,-3.57,9.33,2.5,247.77
0.4573,19.89,37.61,1.23,-14.92,7.13,5.32,209.93,28.25,41.82,1.14,-4.12,6.22,5.12,106.23,45.27,31.36,1.08,-7.07,5.61,9.78,255.19,22.35,35.06,1.79,-0.12,2.73,9.81,285.46
0.4587,34.06,47.65,1.13,-4.72,8.63,6.8,240.13,22.37,43.16,1.85,-4.01,5.17,6.4,120.31,15.74,30.9,0.38,-9.58,9.35,8.93,71.2,18.51,37.95,1.34,-11.53,8.15,2.56,105.02
0.479,49.12,41.5,1.36,-10.91,9.43,2.18,218.6,32.2,31.34,0.83,-10.19,9.93,2.71,171.92,35.65,44.93,0.31,-5.56,9.22,6.85,233.34,29.15,30.07,1.41,-14.49,9.94,1.74,163.6
0.4621,23.46,40.69,1.59,-9.98,7.46,0.77,136.15,23.22,31.65,1.94,-13.79,3.28,3.08,153.05,32.12,57.92,1.42,-4.59,8.14,1.45,146.35,22.44,43.83,0.77,-14.25,6.6,4.43,285.35
0.5313,35.19,33.77,0.51,-3.83,1.29,4.43,204.57,17.57,30.14,1.03,-13.51,4.39,0.8,183.06,17.47,31.78,0.41,-13.61,9.18,6.08,76.21,44.32,59.95,1.83,-4.61,6.25,7.64,287.61
