Instruments,Intervals,96_AK_EQ_ratio,96_MK_EQ_ratio,HAAQI_AK,HAAQI_MK,PEAQ_B_AK,PEAQ_B_MK,PEAQ_Adv_AK,PEAQ_Adv_MK,PEMO_AK,PEMO_MK,Vis_Adv_AK,Vis_Adv_MK
cello,C3A#3,0.675777568,0.812441093,0.7138083,0.656895204,0.50575,0.3545,0.36,0.2275,0.895865378,0.82600934,0.8380421770789217,0.8291174205416236
cello,C3C#3,0.795429815,0.890097933,0.706692408,0.692169055,0.54125,0.374,0.43375,0.278,0.912621259,0.857224852,0.8626106033197058,0.7406472722366695
cello,C3F#3,0.714818267,0.817334576,0.572101285,0.686545155,0.533,0.33625,0.28975,0.2475,0.861590794,0.771375607,0.821173861414531,0.7467635426692962
cello,C3G3,0.703564728,0.853658537,0.569977337,0.58316379,0.491,0.3555,0.15075,0.24575,0.812229337,0.835696705,0.7555465863813704,0.790680747480903
cello,C4A#4,0.772678762,0.994663821,0.594754299,0.567125394,0.483,0.2915,0.10175,0.19775,0.86034304,0.786587872,0.7637520166846306,0.8044864964901588
cello,C4C#4,0.8234714,0.704142012,0.647621678,0.643684925,0.535,0.45625,0.274,0.29125,0.865748352,0.828052203,0.8634906491090075,0.8618279492888035
cello,C4F#4,0.713740458,0.80629771,0.621844634,0.685669522,0.49725,0.41525,0.13075,0.23075,0.790804771,0.758920062,0.8380589728902643,0.8502867646585002
cello,C4G4,0.548245614,0.71754386,0.612107456,0.611146828,0.45,0.353,0.10075,0.21175,0.813076141,0.822413161,0.7431527420731845,0.8381414171752573
piano,C3A#3,0.707395498,0.743837085,0.677721468,0.498638662,0.369,0.05325,0.507,0.07675,0.880378218,0.778940695,0.9246869185634652,0.28907280851716965
piano,C3C#3,0.550603528,0.581244197,0.725161242,0.663217821,0.3715,0.05375,0.499,0.04425,0.894132173,0.788090098,0.9219748273033841,0.29201356092060904
piano,C3F#3,0.68948891,0.74831244,0.630274117,0.564495859,0.44475,0.043,0.1425,0.05425,0.929771962,0.828474545,0.9195848999529193,0.4815176437499089
piano,C3G3,0.741363212,0.666666667,0.653067937,0.489964419,0.431,0.04425,0.158,0.04325,0.901259352,0.796723774,0.9250217108874252,0.5303126681288963
piano,C4A#4,0.695732839,0.627087199,0.657478308,0.564469579,0.476,0.099,0.13,0.17375,0.930786423,0.718002261,0.9138000082423128,0.37042977700491453
piano,C4C#4,0.609403255,0.617540687,0.810246807,0.648078561,0.50475,0.096,0.4175,0.227,0.888808042,0.757020292,0.9187621291844863,0.357448676500258
piano,C4F#4,0.818502203,0.690748899,0.449992834,0.551904291,0.57425,0.06975,0.12175,0.065,0.88101585,0.715521305,0.9103585429266892,0.35564338982212373
piano,C4G4,0.837890625,0.680664063,0.39068884,0.490549566,0.467,0.07825,0.12975,0.0845,0.91640661,0.730316686,0.9104338654647586,0.44803091870104195
pipeorgan,C3A#3,0.473792395,0.964028777,0.628405648,0.671976044,0.64625,0.57475,0.097,0.32375,0.968494942,0.948670106,0.9219818967369491,0.9151842272745299
pipeorgan,C3C#3,0.813333333,0.985555556,0.822620943,0.775161847,0.70075,0.52525,0.65675,0.381,0.969758357,0.960802486,0.9132338758867202,0.9091417791318044
pipeorgan,C3F#3,0.584302326,0.782945736,0.675714698,0.782194786,0.664,0.42875,0.105,0.40375,0.944304227,0.957909927,0.9231971882279848,0.8956121588748618
pipeorgan,C3G3,0.461386139,0.887128713,0.409702845,0.569289764,0.62925,0.5635,0.097,0.18625,0.965043954,0.960766888,0.9196080017293251,0.9176125574906278
pipeorgan,C4A#4,0.438001784,0.781445138,0.317990854,0.403001432,0.3645,0.27775,0.097,0.17875,0.958087043,0.922519453,0.7357754066892902,0.8852112702100472
pipeorgan,C4C#4,0.417849899,0.721095335,0.695535897,0.733447516,0.62425,0.6155,0.097,0.199,0.966541243,0.951599971,0.8574662238022095,0.8810808462689708
pipeorgan,C4F#4,0.476311337,0.686125212,0.382629062,0.541513758,0.4665,0.3275,0.097,0.145,0.954400804,0.928822519,0.8214876784333391,0.8647291461774098
pipeorgan,C4G4,0.429223744,0.775342466,0.220877551,0.452645478,0.442,0.3385,0.097,0.109,0.950372597,0.924353171,0.8815643397391861,0.8807288316013402
