PEMO_AK,PEMO_MK

0.895865377890811,0.826009339541294
0.912621258640296,0.857224851718899
0.86159079379493,0.771375606805284
0.812229336925082,0.835696705302567
0.860343039841672,0.786587871751201
0.865748352449427,0.828052202568091
0.790804770727578,0.75892006215682
0.813076141124547,0.82241316109292
0.880378217793151,0.77894069458067
0.894132172960996,0.788090098482045
0.929771961774467,0.828474544544091
0.901259351796338,0.796723773692774
0.930786422954399,0.71800226052715
0.888808041526921,0.757020291607912
0.881015849720107,0.715521304519803
0.91640660964968,0.730316686158579
0.968494942141978,0.948670106017002
0.969758356760709,0.960802485732371
0.944304226741183,0.957909926947234
0.965043953995574,0.960766887709209
0.95808704277863,0.922519452585002
0.966541242881485,0.951599970691905
0.95440080435507,0.928822519214648
0.950372596906773,0.924353171039267
